"spec_id","instrument","role","resolution","data","covariance_model","criterion"
"S275","NEO120","confirmatory","domain","real","VEE","ICL"
"S276","NEO120","confirmatory","domain","real","VVE","ICL"
"S277","NEO120","confirmatory","domain","real","EEV","ICL"
"S278","NEO120","confirmatory","domain","real","VEV","ICL"
"S279","NEO120","confirmatory","domain","real","EVV","ICL"
"S280","NEO120","confirmatory","domain","real","VVV","ICL"
"S281","NEO120","confirmatory","facet","null","EII","BIC"
"S282","NEO120","confirmatory","facet","null","VII","BIC"
"S283","NEO120","confirmatory","facet","null","EEI","BIC"
"S284","NEO120","confirmatory","facet","null","VEI","BIC"
"S285","NEO120","confirmatory","facet","null","EVI","BIC"
"S286","NEO120","confirmatory","facet","null","VVI","BIC"
"S287","NEO120","confirmatory","facet","null","EEE","BIC"
"S288","NEO120","confirmatory","facet","null","EVE","BIC"
"S289","NEO120","confirmatory","facet","null","VEE","BIC"
"S290","NEO120","confirmatory","facet","null","VVE","BIC"
"S291","NEO120","confirmatory","facet","null","EEV","BIC"
"S292","NEO120","confirmatory","facet","null","VEV","BIC"
"S293","NEO120","confirmatory","facet","null","EVV","BIC"
"S294","NEO120","confirmatory","facet","null","VVV","BIC"
"S295","NEO120","confirmatory","facet","null","EII","ICL"
"S296","NEO120","confirmatory","facet","null","VII","ICL"
"S297","NEO120","confirmatory","facet","null","EEI","ICL"
"S298","NEO120","confirmatory","facet","null","VEI","ICL"
"S299","NEO120","confirmatory","facet","null","EVI","ICL"
"S300","NEO120","confirmatory","facet","null","VVI","ICL"
"S301","NEO120","confirmatory","facet","null","EEE","ICL"
"S302","NEO120","confirmatory","facet","null","EVE","ICL"
"S303","NEO120","confirmatory","facet","null","VEE","ICL"
"S304","NEO120","confirmatory","facet","null","VVE","ICL"
"S305","NEO120","confirmatory","facet","null","EEV","ICL"
"S306","NEO120","confirmatory","facet","null","VEV","ICL"
"S307","NEO120","confirmatory","facet","null","EVV","ICL"
"S308","NEO120","confirmatory","facet","null","VVV","ICL"
"S309","NEO120","confirmatory","facet","real","EII","BIC"
"S310","NEO120","confirmatory","facet","real","VII","BIC"
"S311","NEO120","confirmatory","facet","real","EEI","BIC"
"S312","NEO120","confirmatory","facet","real","VEI","BIC"
"S313","NEO120","confirmatory","facet","real","EVI","BIC"
"S314","NEO120","confirmatory","facet","real","VVI","BIC"
"S315","NEO120","confirmatory","facet","real","EEE","BIC"
"S316","NEO120","confirmatory","facet","real","EVE","BIC"
"S317","NEO120","confirmatory","facet","real","VEE","BIC"
"S318","NEO120","confirmatory","facet","real","VVE","BIC"
"S319","NEO120","confirmatory","facet","real","EEV","BIC"
"S320","NEO120","confirmatory","facet","real","VEV","BIC"
"S321","NEO120","confirmatory","facet","real","EVV","BIC"
"S322","NEO120","confirmatory","facet","real","VVV","BIC"
"S323","NEO120","confirmatory","facet","real","EII","ICL"
"S324","NEO120","confirmatory","facet","real","VII","ICL"
"S325","NEO120","confirmatory","facet","real","EEI","ICL"
"S326","NEO120","confirmatory","facet","real","VEI","ICL"
"S327","NEO120","confirmatory","facet","real","EVI","ICL"
"S328","NEO120","confirmatory","facet","real","VVI","ICL"
"S329","NEO120","confirmatory","facet","real","EEE","ICL"
"S330","NEO120","confirmatory","facet","real","EVE","ICL"
"S331","NEO120","confirmatory","facet","real","VEE","ICL"
"S332","NEO120","confirmatory","facet","real","VVE","ICL"
"S333","NEO120","confirmatory","facet","real","EEV","ICL"
"S334","NEO120","confirmatory","facet","real","VEV","ICL"
"S335","NEO120","confirmatory","facet","real","EVV","ICL"
"S336","NEO120","confirmatory","facet","real","VVV","ICL"
